property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,emaar gurgaon greens,sector 102,1.45,8787.88,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,2,7.0,South-West,Relatively New,1650.0,,,0,1,0,0,0,1,169,550.0
flat,signature global synera,sector 81,0.48,8450.7,568.0,Super Built up area 657(61.04 sq.m.)Carpet area: 568 sq.ft. (52.77 sq.m.),2,2,1,7.0,South-East,Relatively New,657.0,,568.0,0,0,0,0,0,1,70,284.0
flat,godrej,sector 79,1.91,8511.59,2244.0,Super Built up area 2244(208.47 sq.m.),3,4,3+,7.0,North-East,Relatively New,2244.0,,,0,1,0,0,0,0,158,748.0
flat,indiabulls centrum park,sector 103,1.33,8580.65,1550.0,Super Built up area 1790(166.3 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3+,8.0,East,Relatively New,1790.0,,1550.0,1,0,0,0,0,0,150,516.6666666666666
flat,tulip purple,sector 69,1.92,8000.0,2400.0,Super Built up area 2400(222.97 sq.m.),4,5,3+,5.0,East,Relatively New,2400.0,,,0,1,0,0,0,1,158,600.0
flat,emaar mgf emerald floors premier,sector 65,2.36,14303.03,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,North-East,Relatively New,1650.0,,1400.0,1,1,0,0,0,1,136,550.0
flat,the new crpf apartments,sector 9a,0.75,5813.95,1290.0,Carpet area: 1290 (119.84 sq.m.),3,3,3,6.0,East,Old Property,,,1290.0,0,0,0,1,0,0,31,430.0
flat,m3m ikonic,sector 68,1.8,9230.77,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1845 sq.ft. (171.41 sq.m.)Carpet area: 1530 sq.ft. (142.14 sq.m.),3,3,3+,18.0,North-East,Relatively New,1950.0,1845.0,1530.0,0,0,0,0,0,1,126,650.0
flat,mrg skyline,sector 106,1.82,13392.2,1359.0,Built Up area: 1359 (126.26 sq.m.)Carpet area: 952 sq.ft. (88.44 sq.m.),3,2,2,4.0,East,Undefined,,1359.0,952.0,0,0,0,0,0,0,0,453.0
house,eros rosewood city,sector 49,1.6,3499.56,4572.0,Plot area 60(50.17 sq.m.),4,4,3,4.0,East,New Property,,60.0,,0,0,0,0,0,1,27,1143.0
